6.26373	7.06882	9.89080	7.23118	8.90295	10.03332	6.92073	6.10601	6.71904	3.95610	5.17071	8.72856	9.99197	8.64681	7.87307	10.54260	6.59858	5.92762	6.15291	6.81525
6.41672	5.69553	5.19757	8.25968	9.56788	5.04506	9.47622	5.18505	8.44598	7.95809	6.97271	6.84879	6.93207	5.08014	5.42842	7.03698	5.35998	7.38238	7.84305	7.69781
5.83501	5.27530	8.19924	9.57053	5.96418	9.04977	5.73175	6.73737	6.64887	8.03766	5.68525	7.09194	5.89945	5.33038	7.51876	11.20750	5.62250	7.05856	6.31362	8.31756
10.80408	6.48841	5.19304	6.78884	9.58565	7.10882	5.02020	7.56228	4.97879	6.43599	7.40934	5.13988	6.38073	9.57401	7.30118	8.74677	8.11629	8.64026	7.10655	8.14499
6.59985	6.81864	4.86493	5.54082	7.79458	6.72314	5.43778	8.61510	8.04714	5.67186	5.82326	6.01052	8.44471	8.03387	6.20268	7.05921	7.04731	4.26579	13.43469	6.06996
4.74546	7.72624	9.06783	5.78504	7.76333	5.84172	5.17392	7.60829	6.45863	7.19765	7.45790	6.56784	5.37129	5.05447	13.29513	8.11294	6.72944	7.12454	4.88465	5.91195
6.53149	6.46723	5.23484	6.19061	6.87369	6.80155	6.12633	6.54563	7.12211	6.03417	10.19477	6.43334	9.06242	5.47677	6.88254	6.38594	6.76776	4.91697	10.01071	7.23570
5.51560	4.86344	4.73521	7.94761	6.17805	8.71014	5.49087	6.76544	6.54923	5.76843	5.63078	7.16173	7.31495	6.58501	10.41247	6.71085	19.27610	7.83521	6.62163	6.44041
7.17486	6.33779	6.97590	4.62164	6.80628	6.28842	5.74332	9.89239	6.35200	6.53951	8.94364	6.10963	7.20318	4.80506	6.12705	6.79995	6.98071	6.86727	5.31272	3.04684
5.06689	5.49380	8.77542	10.28058	6.07967	8.46465	5.82244	13.67782	13.14872	6.19774	14.02371	7.26360	7.64050	6.64405	3.33526	6.10215	7.18520	7.30752	8.22775	7.42994
12.14194	8.03565	12.95502	9.31775	11.87705	10.62100	19.56136	6.83255	7.50919	7.88371	9.76908	5.25272	5.26962	7.24405	21.96865	8.64212	7.59387	8.91340	11.39403	7.48161
12.60182	16.04957	15.21907	14.73919	15.55356	19.74281	14.27663	50.16439	22.60670	22.34580	14.23196	10.17608	7.89195	10.35582	6.77335	6.81343	14.61116	11.20354	14.81221	10.25864
31.20505	47.06754	33.74394	35.90313	25.03263	31.05748	33.43650	56.49215	37.10892	12.27789	33.02672	28.75342	18.77665	21.96178	23.78737	13.70339	9.58222	38.51551	10.38513	14.41336
66.90984	67.48313	56.12465	58.60661	41.20556	44.44102	36.47778	132.50987	33.24896	34.98273	32.09170	10.14027	24.21501	9.40010	20.52418	6.88481	10.44340	11.59508	17.52700	11.87199
210.27744	144.45861	60.17894	87.91084	67.79273	60.25817	65.53002	488.22949	54.46212	57.18863	46.08898	23.24825	32.46144	24.03147	3.53419	20.32664	7.90482	13.10589	8.77335	12.84235
435.61766	353.10357	180.60018	137.04222	95.81919	94.13447	84.65704	1969.51132	57.90557	56.46087	64.12533	40.18698	11.28276	61.96372	12.05170	19.60911	14.87425	23.81277	16.42315	12.07516
1457.53463	813.76595	383.19409	198.88235	157.91399	126.98724	112.76615	3041.16155	87.59763	32.46314	45.12693	20.93132	16.77039	74.67808	21.30813	44.77209	35.07479	35.46452	15.52185	10.67838
3953.78651	1870.82959	701.62408	305.65071	210.37300	158.51910	156.98052	20070.41888	113.66874	79.01441	74.30842	73.45078	86.37728	54.00432	12.47882	45.88589	22.65334	25.36788	3.82649	9.16782
10595.54781	3499.22441	1049.79760	466.52300	248.71126	209.21728	195.91692	154205.16615	153.84519	108.66027	88.42580	86.14047	122.09158	84.02150	23.61626	40.72149	38.52352	33.24720	37.80524	13.62722
22935.91290	5202.96818	2985.86433	653.11093	358.98934	269.81503	234.92302	564931.51067	169.53235	163.21215	109.38312	118.23552	84.61297	82.31556	74.71644	15.41558	36.90918	10.23224	40.23738	6.24249
